time,words_per_second
1.9600000000000009,1.4
4.460000000000001,1.4
6.960000000000001,0.4
9.46,1.8
11.96,2.4
14.46,2.0
16.96,1.8
19.46,2.2
21.96,3.2
24.46,3.4
26.96,3.4
29.46,2.8
31.96,2.2
34.46,2.2
36.96,2.2
39.46,3.0
41.96,2.4
44.46,1.8
46.96,1.8
49.46,1.6
51.96,3.0
54.46,2.6
56.96,2.0
59.46,2.0
61.96,1.8
64.46000000000001,2.0
66.96000000000001,1.6
69.46000000000001,2.0
71.96000000000001,2.4
74.46000000000001,1.8
76.96000000000001,1.2
79.46000000000001,1.8
81.96000000000001,2.4
84.46000000000001,3.2
86.96000000000001,7.2
89.46000000000001,7.4
91.96000000000001,3.2
94.46000000000001,3.8
96.96000000000001,3.6
99.46000000000001,2.4
101.96000000000001,4.8
104.46000000000001,5.6
106.96000000000001,3.2
109.46000000000001,3.6
111.96000000000001,5.2
114.46000000000001,6.6
116.96000000000001,4.8
119.46000000000001,2.4
121.96000000000001,2.8
124.46000000000001,1.0
126.96000000000001,1.8
129.46,3.8
131.96,5.2
134.46,6.8
136.96,3.6
139.46,0.8
141.96,2.0
144.46,2.2
146.96,2.2
149.46,3.8
151.96,3.8
154.46,2.0
156.96,3.4
159.46,5.4
161.96,5.4
164.46,5.4
166.96,6.2
169.46,4.6
171.96,3.0
174.46,3.2
176.96,2.4
179.46,2.8
181.96,4.0
184.46,4.6
186.96,7.2
189.46,8.8
191.96,4.8
194.46,4.8
196.96,8.0
199.46,6.0
201.96,4.0
204.46,3.4
206.96,1.8
209.46,1.6
211.96,2.6
214.46,5.0
216.96,5.0
219.46,3.6
221.96,6.6
224.46,6.0
226.96,3.0
229.46,2.8
231.96,3.0
234.46,4.2
236.96,5.4
239.46,4.4
241.96,2.6
244.46,3.0
246.96,4.8
249.46,6.0
251.96,5.0
254.46,3.0
256.96,3.2
259.46,6.0
261.96,9.4
264.46,7.0
266.96,3.4
269.46,3.0
271.96,3.0
274.46,2.4
276.96,3.2
279.46,4.4
281.96,3.8
284.46,2.8
286.96,2.4
289.46,2.4
291.96,1.4
294.46,2.6
296.96,5.6
299.46,5.4
301.96,3.8
304.46,2.8
306.96,1.6
309.46,0.8
314.46,0.2
316.96,1.2
319.46,1.4
321.96,0.6
324.46,1.6
326.96,2.8
329.46,2.8
331.96,4.8
334.46,5.4
336.96,2.4
339.46,2.6
341.96,4.2
344.46,3.8
346.96,4.6
349.46,4.2
351.96,3.2
354.46,2.8
356.96,1.6
359.46,1.0
