segment_id,start,end,text,words,avg_logprob,no_speech_prob,start_meg,end_meg,words_meg
0,1.6800000000000015,4.96,So what's your favorite sports and why?,"[{'word': ' So', 'start': np.float64(1.6800000000000015), 'end': np.float64(2.24), 'probability': np.float64(0.7223950028419495)}, {'word': "" what's"", 'start': np.float64(2.24), 'end': np.float64(2.72), 'probability': np.float64(0.8465451002120972)}, {'word': ' your', 'start': np.float64(2.72), 'end': np.float64(2.82), 'probability': np.float64(0.9991402626037598)}, {'word': ' favorite', 'start': np.float64(2.82), 'end': np.float64(3.16), 'probability': np.float64(0.9358887076377869)}, {'word': ' sports', 'start': np.float64(3.16), 'end': np.float64(3.5), 'probability': np.float64(0.884103536605835)}, {'word': ' and', 'start': np.float64(3.5), 'end': np.float64(3.94), 'probability': np.float64(0.8865326046943665)}, {'word': ' why?', 'start': np.float64(3.94), 'end': np.float64(4.96), 'probability': np.float64(0.9917402267456055)}]",-0.45786421639578684,0.2667733132839203,5.518000000000002,8.798,"[{'word': ' So', 'start': np.float64(1.6800000000000015), 'end': np.float64(2.24), 'probability': np.float64(0.7223950028419495), 'start_meg': np.float64(5.518000000000002), 'end_meg': np.float64(6.078)}, {'word': "" what's"", 'start': np.float64(2.24), 'end': np.float64(2.72), 'probability': np.float64(0.8465451002120972), 'start_meg': np.float64(6.078), 'end_meg': np.float64(6.558)}, {'word': ' your', 'start': np.float64(2.72), 'end': np.float64(2.82), 'probability': np.float64(0.9991402626037598), 'start_meg': np.float64(6.558), 'end_meg': np.float64(6.6579999999999995)}, {'word': ' favorite', 'start': np.float64(2.82), 'end': np.float64(3.16), 'probability': np.float64(0.9358887076377869), 'start_meg': np.float64(6.6579999999999995), 'end_meg': np.float64(6.998)}, {'word': ' sports', 'start': np.float64(3.16), 'end': np.float64(3.5), 'probability': np.float64(0.884103536605835), 'start_meg': np.float64(6.998), 'end_meg': np.float64(7.338)}, {'word': ' and', 'start': np.float64(3.5), 'end': np.float64(3.94), 'probability': np.float64(0.8865326046943665), 'start_meg': np.float64(7.338), 'end_meg': np.float64(7.7780000000000005)}, {'word': ' why?', 'start': np.float64(3.94), 'end': np.float64(4.96), 'probability': np.float64(0.9917402267456055), 'start_meg': np.float64(7.7780000000000005), 'end_meg': np.float64(8.798)}]"
1,7.640000000000001,8.2,Okay.,"[{'word': ' Okay.', 'start': np.float64(7.640000000000001), 'end': np.float64(8.2), 'probability': np.float64(0.4057190418243408)}]",-0.45786421639578684,0.2667733132839203,11.478000000000002,12.038,"[{'word': ' Okay.', 'start': np.float64(7.640000000000001), 'end': np.float64(8.2), 'probability': np.float64(0.4057190418243408), 'start_meg': np.float64(11.478000000000002), 'end_meg': np.float64(12.038)}]"
2,8.64,11.54,"So that is a kid, I watch it.","[{'word': ' So', 'start': np.float64(8.64), 'end': np.float64(8.92), 'probability': np.float64(0.05905946344137192)}, {'word': ' that', 'start': np.float64(8.92), 'end': np.float64(10.12), 'probability': np.float64(0.15901832282543182)}, {'word': ' is', 'start': np.float64(10.12), 'end': np.float64(10.36), 'probability': np.float64(0.9664692282676697)}, {'word': ' a', 'start': np.float64(10.36), 'end': np.float64(10.5), 'probability': np.float64(0.6266741156578064)}, {'word': ' kid,', 'start': np.float64(10.5), 'end': np.float64(10.64), 'probability': np.float64(0.9734200835227966)}, {'word': ' I', 'start': np.float64(11.04), 'end': np.float64(11.08), 'probability': np.float64(0.365255743265152)}, {'word': ' watch', 'start': np.float64(11.08), 'end': np.float64(11.32), 'probability': np.float64(0.8100166916847229)}, {'word': ' it.', 'start': np.float64(11.32), 'end': np.float64(11.54), 'probability': np.float64(0.7524767518043518)}]",-0.45786421639578684,0.2667733132839203,12.478000000000002,15.378,"[{'word': ' So', 'start': np.float64(8.64), 'end': np.float64(8.92), 'probability': np.float64(0.05905946344137192), 'start_meg': np.float64(12.478000000000002), 'end_meg': np.float64(12.758)}, {'word': ' that', 'start': np.float64(8.92), 'end': np.float64(10.12), 'probability': np.float64(0.15901832282543182), 'start_meg': np.float64(12.758), 'end_meg': np.float64(13.957999999999998)}, {'word': ' is', 'start': np.float64(10.12), 'end': np.float64(10.36), 'probability': np.float64(0.9664692282676697), 'start_meg': np.float64(13.957999999999998), 'end_meg': np.float64(14.198)}, {'word': ' a', 'start': np.float64(10.36), 'end': np.float64(10.5), 'probability': np.float64(0.6266741156578064), 'start_meg': np.float64(14.198), 'end_meg': np.float64(14.338000000000001)}, {'word': ' kid,', 'start': np.float64(10.5), 'end': np.float64(10.64), 'probability': np.float64(0.9734200835227966), 'start_meg': np.float64(14.338000000000001), 'end_meg': np.float64(14.478000000000002)}, {'word': ' I', 'start': np.float64(11.04), 'end': np.float64(11.08), 'probability': np.float64(0.365255743265152), 'start_meg': np.float64(14.878), 'end_meg': np.float64(14.918)}, {'word': ' watch', 'start': np.float64(11.08), 'end': np.float64(11.32), 'probability': np.float64(0.8100166916847229), 'start_meg': np.float64(14.918), 'end_meg': np.float64(15.158000000000001)}, {'word': ' it.', 'start': np.float64(11.32), 'end': np.float64(11.54), 'probability': np.float64(0.7524767518043518), 'start_meg': np.float64(15.158000000000001), 'end_meg': np.float64(15.378)}]"
3,12.22,14.8,"So it's been a sports, yes.","[{'word': ' So', 'start': np.float64(12.22), 'end': np.float64(12.28), 'probability': np.float64(0.1276855170726776)}, {'word': "" it's"", 'start': np.float64(12.28), 'end': np.float64(12.9), 'probability': np.float64(0.5799661129713058)}, {'word': ' been', 'start': np.float64(12.9), 'end': np.float64(13.04), 'probability': np.float64(0.595557451248169)}, {'word': ' a', 'start': np.float64(13.04), 'end': np.float64(13.42), 'probability': np.float64(0.13287414610385895)}, {'word': ' sports,', 'start': np.float64(13.42), 'end': np.float64(14.3), 'probability': np.float64(0.1604733020067215)}, {'word': ' yes.', 'start': np.float64(14.58), 'end': np.float64(14.8), 'probability': np.float64(0.667576789855957)}]",-0.45786421639578684,0.2667733132839203,16.058,18.638,"[{'word': ' So', 'start': np.float64(12.22), 'end': np.float64(12.28), 'probability': np.float64(0.1276855170726776), 'start_meg': np.float64(16.058), 'end_meg': np.float64(16.118)}, {'word': "" it's"", 'start': np.float64(12.28), 'end': np.float64(12.9), 'probability': np.float64(0.5799661129713058), 'start_meg': np.float64(16.118), 'end_meg': np.float64(16.738)}, {'word': ' been', 'start': np.float64(12.9), 'end': np.float64(13.04), 'probability': np.float64(0.595557451248169), 'start_meg': np.float64(16.738), 'end_meg': np.float64(16.878)}, {'word': ' a', 'start': np.float64(13.04), 'end': np.float64(13.42), 'probability': np.float64(0.13287414610385895), 'start_meg': np.float64(16.878), 'end_meg': np.float64(17.258)}, {'word': ' sports,', 'start': np.float64(13.42), 'end': np.float64(14.3), 'probability': np.float64(0.1604733020067215), 'start_meg': np.float64(17.258), 'end_meg': np.float64(18.138)}, {'word': ' yes.', 'start': np.float64(14.58), 'end': np.float64(14.8), 'probability': np.float64(0.667576789855957), 'start_meg': np.float64(18.418), 'end_meg': np.float64(18.638)}]"
4,15.12,15.42,Okay.,"[{'word': ' Okay.', 'start': np.float64(15.12), 'end': np.float64(15.42), 'probability': np.float64(0.8722858428955078)}]",-0.45786421639578684,0.2667733132839203,18.958,19.258,"[{'word': ' Okay.', 'start': np.float64(15.12), 'end': np.float64(15.42), 'probability': np.float64(0.8722858428955078), 'start_meg': np.float64(18.958), 'end_meg': np.float64(19.258)}]"
5,16.36,17.68,So you have been sports today?,"[{'word': ' So', 'start': np.float64(16.36), 'end': np.float64(16.62), 'probability': np.float64(0.3631308078765869)}, {'word': ' you', 'start': np.float64(16.62), 'end': np.float64(16.8), 'probability': np.float64(0.7879024744033813)}, {'word': ' have', 'start': np.float64(16.8), 'end': np.float64(16.92), 'probability': np.float64(0.42964938282966614)}, {'word': ' been', 'start': np.float64(16.92), 'end': np.float64(17.04), 'probability': np.float64(0.6529266238212585)}, {'word': ' sports', 'start': np.float64(17.04), 'end': np.float64(17.4), 'probability': np.float64(0.5523245334625244)}, {'word': ' today?', 'start': np.float64(17.4), 'end': np.float64(17.68), 'probability': np.float64(0.7389792799949646)}]",-0.45786421639578684,0.2667733132839203,20.198,21.518,"[{'word': ' So', 'start': np.float64(16.36), 'end': np.float64(16.62), 'probability': np.float64(0.3631308078765869), 'start_meg': np.float64(20.198), 'end_meg': np.float64(20.458000000000002)}, {'word': ' you', 'start': np.float64(16.62), 'end': np.float64(16.8), 'probability': np.float64(0.7879024744033813), 'start_meg': np.float64(20.458000000000002), 'end_meg': np.float64(20.638)}, {'word': ' have', 'start': np.float64(16.8), 'end': np.float64(16.92), 'probability': np.float64(0.42964938282966614), 'start_meg': np.float64(20.638), 'end_meg': np.float64(20.758000000000003)}, {'word': ' been', 'start': np.float64(16.92), 'end': np.float64(17.04), 'probability': np.float64(0.6529266238212585), 'start_meg': np.float64(20.758000000000003), 'end_meg': np.float64(20.878)}, {'word': ' sports', 'start': np.float64(17.04), 'end': np.float64(17.4), 'probability': np.float64(0.5523245334625244), 'start_meg': np.float64(20.878), 'end_meg': np.float64(21.238)}, {'word': ' today?', 'start': np.float64(17.4), 'end': np.float64(17.68), 'probability': np.float64(0.7389792799949646), 'start_meg': np.float64(21.238), 'end_meg': np.float64(21.518)}]"
6,18.740000000000002,23.06,"No, I played a lot in school, but not because I was good.","[{'word': ' No,', 'start': np.float64(18.740000000000002), 'end': np.float64(19.3), 'probability': np.float64(0.6770910620689392)}, {'word': ' I', 'start': np.float64(19.64), 'end': np.float64(20.12), 'probability': np.float64(0.9961150884628296)}, {'word': ' played', 'start': np.float64(20.12), 'end': np.float64(20.36), 'probability': np.float64(0.7250536680221558)}, {'word': ' a', 'start': np.float64(20.36), 'end': np.float64(20.54), 'probability': np.float64(0.9987984895706177)}, {'word': ' lot', 'start': np.float64(20.54), 'end': np.float64(20.7), 'probability': np.float64(0.9995856881141663)}, {'word': ' in', 'start': np.float64(20.7), 'end': np.float64(20.9), 'probability': np.float64(0.9965900182723999)}, {'word': ' school,', 'start': np.float64(20.9), 'end': np.float64(21.26), 'probability': np.float64(0.9981489181518555)}, {'word': ' but', 'start': np.float64(21.8), 'end': np.float64(21.84), 'probability': np.float64(0.9461262822151184)}, {'word': ' not', 'start': np.float64(21.84), 'end': np.float64(22.28), 'probability': np.float64(0.9827489256858826)}, {'word': ' because', 'start': np.float64(22.28), 'end': np.float64(22.48), 'probability': np.float64(0.824720561504364)}, {'word': ' I', 'start': np.float64(22.48), 'end': np.float64(22.62), 'probability': np.float64(0.9952564835548401)}, {'word': ' was', 'start': np.float64(22.62), 'end': np.float64(22.8), 'probability': np.float64(0.999407172203064)}, {'word': ' good.', 'start': np.float64(22.8), 'end': np.float64(23.06), 'probability': np.float64(0.9991210103034973)}]",-0.45786421639578684,0.2667733132839203,22.578000000000003,26.898,"[{'word': ' No,', 'start': np.float64(18.740000000000002), 'end': np.float64(19.3), 'probability': np.float64(0.6770910620689392), 'start_meg': np.float64(22.578000000000003), 'end_meg': np.float64(23.138)}, {'word': ' I', 'start': np.float64(19.64), 'end': np.float64(20.12), 'probability': np.float64(0.9961150884628296), 'start_meg': np.float64(23.478), 'end_meg': np.float64(23.958000000000002)}, {'word': ' played', 'start': np.float64(20.12), 'end': np.float64(20.36), 'probability': np.float64(0.7250536680221558), 'start_meg': np.float64(23.958000000000002), 'end_meg': np.float64(24.198)}, {'word': ' a', 'start': np.float64(20.36), 'end': np.float64(20.54), 'probability': np.float64(0.9987984895706177), 'start_meg': np.float64(24.198), 'end_meg': np.float64(24.378)}, {'word': ' lot', 'start': np.float64(20.54), 'end': np.float64(20.7), 'probability': np.float64(0.9995856881141663), 'start_meg': np.float64(24.378), 'end_meg': np.float64(24.538)}, {'word': ' in', 'start': np.float64(20.7), 'end': np.float64(20.9), 'probability': np.float64(0.9965900182723999), 'start_meg': np.float64(24.538), 'end_meg': np.float64(24.738)}, {'word': ' school,', 'start': np.float64(20.9), 'end': np.float64(21.26), 'probability': np.float64(0.9981489181518555), 'start_meg': np.float64(24.738), 'end_meg': np.float64(25.098000000000003)}, {'word': ' but', 'start': np.float64(21.8), 'end': np.float64(21.84), 'probability': np.float64(0.9461262822151184), 'start_meg': np.float64(25.638), 'end_meg': np.float64(25.678)}, {'word': ' not', 'start': np.float64(21.84), 'end': np.float64(22.28), 'probability': np.float64(0.9827489256858826), 'start_meg': np.float64(25.678), 'end_meg': np.float64(26.118000000000002)}, {'word': ' because', 'start': np.float64(22.28), 'end': np.float64(22.48), 'probability': np.float64(0.824720561504364), 'start_meg': np.float64(26.118000000000002), 'end_meg': np.float64(26.318)}, {'word': ' I', 'start': np.float64(22.48), 'end': np.float64(22.62), 'probability': np.float64(0.9952564835548401), 'start_meg': np.float64(26.318), 'end_meg': np.float64(26.458000000000002)}, {'word': ' was', 'start': np.float64(22.62), 'end': np.float64(22.8), 'probability': np.float64(0.999407172203064), 'start_meg': np.float64(26.458000000000002), 'end_meg': np.float64(26.638)}, {'word': ' good.', 'start': np.float64(22.8), 'end': np.float64(23.06), 'probability': np.float64(0.9991210103034973), 'start_meg': np.float64(26.638), 'end_meg': np.float64(26.898)}]"
7,23.26,26.1,I just felt like everyone that played sport was cool.,"[{'word': ' I', 'start': np.float64(23.26), 'end': np.float64(23.32), 'probability': np.float64(0.9970780611038208)}, {'word': ' just', 'start': np.float64(23.32), 'end': np.float64(23.58), 'probability': np.float64(0.956402599811554)}, {'word': ' felt', 'start': np.float64(23.58), 'end': np.float64(24.26), 'probability': np.float64(0.9863619804382324)}, {'word': ' like', 'start': np.float64(24.26), 'end': np.float64(24.44), 'probability': np.float64(0.9977288842201233)}, {'word': ' everyone', 'start': np.float64(24.44), 'end': np.float64(24.8), 'probability': np.float64(0.9950333833694458)}, {'word': ' that', 'start': np.float64(24.8), 'end': np.float64(24.98), 'probability': np.float64(0.9676533341407776)}, {'word': ' played', 'start': np.float64(24.98), 'end': np.float64(25.2), 'probability': np.float64(0.9950373768806458)}, {'word': ' sport', 'start': np.float64(25.2), 'end': np.float64(25.56), 'probability': np.float64(0.8870678544044495)}, {'word': ' was', 'start': np.float64(25.56), 'end': np.float64(25.8), 'probability': np.float64(0.995781421661377)}, {'word': ' cool.', 'start': np.float64(25.8), 'end': np.float64(26.1), 'probability': np.float64(0.9902682900428772)}, {'word': ' But', 'start': np.float64(26.1), 'end': np.float64(26.54), 'probability': np.float64(0.23346324265003204)}, {'word': ' I', 'start': np.float64(26.54), 'end': np.float64(27.98), 'probability': np.float64(0.9478803277015686)}, {'word': ' was', 'start': np.float64(27.98), 'end': np.float64(28.14), 'probability': np.float64(0.9978011250495911)}, {'word': ' never', 'start': np.float64(28.14), 'end': np.float64(28.34), 'probability': np.float64(0.9979192614555359)}, {'word': ' good.', 'start': np.float64(28.34), 'end': np.float64(28.66), 'probability': np.float64(0.9921116828918457)}]",-0.45786421639578684,0.2667733132839203,27.098000000000003,29.938000000000002,"[{'word': ' I', 'start': np.float64(23.26), 'end': np.float64(23.32), 'probability': np.float64(0.9970780611038208), 'start_meg': np.float64(27.098000000000003), 'end_meg': np.float64(27.158)}, {'word': ' just', 'start': np.float64(23.32), 'end': np.float64(23.58), 'probability': np.float64(0.956402599811554), 'start_meg': np.float64(27.158), 'end_meg': np.float64(27.418)}, {'word': ' felt', 'start': np.float64(23.58), 'end': np.float64(24.26), 'probability': np.float64(0.9863619804382324), 'start_meg': np.float64(27.418), 'end_meg': np.float64(28.098000000000003)}, {'word': ' like', 'start': np.float64(24.26), 'end': np.float64(24.44), 'probability': np.float64(0.9977288842201233), 'start_meg': np.float64(28.098000000000003), 'end_meg': np.float64(28.278000000000002)}, {'word': ' everyone', 'start': np.float64(24.44), 'end': np.float64(24.8), 'probability': np.float64(0.9950333833694458), 'start_meg': np.float64(28.278000000000002), 'end_meg': np.float64(28.638)}, {'word': ' that', 'start': np.float64(24.8), 'end': np.float64(24.98), 'probability': np.float64(0.9676533341407776), 'start_meg': np.float64(28.638), 'end_meg': np.float64(28.818)}, {'word': ' played', 'start': np.float64(24.98), 'end': np.float64(25.2), 'probability': np.float64(0.9950373768806458), 'start_meg': np.float64(28.818), 'end_meg': np.float64(29.038)}, {'word': ' sport', 'start': np.float64(25.2), 'end': np.float64(25.56), 'probability': np.float64(0.8870678544044495), 'start_meg': np.float64(29.038), 'end_meg': np.float64(29.398)}, {'word': ' was', 'start': np.float64(25.56), 'end': np.float64(25.8), 'probability': np.float64(0.995781421661377), 'start_meg': np.float64(29.398), 'end_meg': np.float64(29.638)}, {'word': ' cool.', 'start': np.float64(25.8), 'end': np.float64(26.1), 'probability': np.float64(0.9902682900428772), 'start_meg': np.float64(29.638), 'end_meg': np.float64(29.938000000000002)}]"
8,26.1,28.66,But I was never good.,"[{'word': ' But', 'start': np.float64(26.1), 'end': np.float64(26.54), 'probability': np.float64(0.23346324265003204)}, {'word': ' I', 'start': np.float64(26.54), 'end': np.float64(27.98), 'probability': np.float64(0.9478803277015686)}, {'word': ' was', 'start': np.float64(27.98), 'end': np.float64(28.14), 'probability': np.float64(0.9978011250495911)}, {'word': ' never', 'start': np.float64(28.14), 'end': np.float64(28.34), 'probability': np.float64(0.9979192614555359)}, {'word': ' good.', 'start': np.float64(28.34), 'end': np.float64(28.66), 'probability': np.float64(0.9921116828918457)}]",-0.26082550300346624,0.1013910099864006,29.938000000000002,32.498,"[{'word': ' But', 'start': np.float64(26.1), 'end': np.float64(26.54), 'probability': np.float64(0.23346324265003204), 'start_meg': np.float64(29.938000000000002), 'end_meg': np.float64(30.378)}, {'word': ' I', 'start': np.float64(26.54), 'end': np.float64(27.98), 'probability': np.float64(0.9478803277015686), 'start_meg': np.float64(30.378), 'end_meg': np.float64(31.818)}, {'word': ' was', 'start': np.float64(27.98), 'end': np.float64(28.14), 'probability': np.float64(0.9978011250495911), 'start_meg': np.float64(31.818), 'end_meg': np.float64(31.978)}, {'word': ' never', 'start': np.float64(28.14), 'end': np.float64(28.34), 'probability': np.float64(0.9979192614555359), 'start_meg': np.float64(31.978), 'end_meg': np.float64(32.178)}, {'word': ' good.', 'start': np.float64(28.34), 'end': np.float64(28.66), 'probability': np.float64(0.9921116828918457), 'start_meg': np.float64(32.178), 'end_meg': np.float64(32.498)}]"
9,29.12,29.84,What's your favorite?,"[{'word': "" What's"", 'start': np.float64(29.12), 'end': np.float64(29.36), 'probability': np.float64(0.0933080596732907)}, {'word': ' your', 'start': np.float64(29.36), 'end': np.float64(29.64), 'probability': np.float64(0.5349071025848389)}, {'word': ' favorite?', 'start': np.float64(29.64), 'end': np.float64(29.84), 'probability': np.float64(0.046180278062820435)}]",-0.26082550300346624,0.1013910099864006,32.958,33.678,"[{'word': "" What's"", 'start': np.float64(29.12), 'end': np.float64(29.36), 'probability': np.float64(0.0933080596732907), 'start_meg': np.float64(32.958), 'end_meg': np.float64(33.198)}, {'word': ' your', 'start': np.float64(29.36), 'end': np.float64(29.64), 'probability': np.float64(0.5349071025848389), 'start_meg': np.float64(33.198), 'end_meg': np.float64(33.478)}, {'word': ' favorite?', 'start': np.float64(29.64), 'end': np.float64(29.84), 'probability': np.float64(0.046180278062820435), 'start_meg': np.float64(33.478), 'end_meg': np.float64(33.678)}]"
