turn_id,start,end,duration,text,n_segments,n_words,segment_ids
0,1.6800000000000015,4.96,3.2799999999999985,So what's your favorite sports and why?,1,7,[np.int64(0)]
1,7.640000000000001,8.2,0.5599999999999987,Okay.,1,1,[np.int64(1)]
2,8.64,11.54,2.8999999999999986,"So that is a kid, I watch it.",1,8,[np.int64(2)]
3,12.22,14.8,2.58,"So it's been a sports, yes.",1,6,[np.int64(3)]
4,16.36,17.68,1.3200000000000003,So you have been sports today?,1,6,[np.int64(5)]
5,18.740000000000002,23.06,4.319999999999997,"No, I played a lot in school, but not because I was good.",1,13,[np.int64(6)]
6,23.26,28.66,5.399999999999999,I just felt like everyone that played sport was cool. But I was never good.,2,15,"[np.int64(7), np.int64(8)]"
7,29.12,29.84,0.7199999999999989,What's your favorite?,1,3,[np.int64(9)]
8,30.42,32.58,2.1599999999999966,I played soccer as well.,1,5,[np.int64(10)]
9,33.58,38.8,5.219999999999999,"And they put me in defense, but I couldn't like defend to save my life.",1,15,[np.int64(11)]
10,39.34,43.22,3.8799999999999955,"They try to put me in goalkeeper, but that was even worse.",1,12,[np.int64(12)]
11,44.64,46.58,1.9399999999999977,What position do you play in?,1,6,[np.int64(13)]
12,47.26,50.88,3.6200000000000045,I play in the middle.,1,5,[np.int64(14)]
13,51.64,54.6,2.960000000000001,Yeah. I play in the middle. Okay.,3,7,"[np.int64(15), np.int64(16), np.int64(17)]"
14,54.86,55.5,0.6400000000000006,Yeah.,1,1,[np.int64(18)]
15,55.74,57.68,1.9399999999999977,So that's a lot of running.,1,6,[np.int64(19)]
16,60.56,64.78,4.219999999999999,And do you have like who's your favorite soccer team?,1,10,[np.int64(23)]
17,65.42,68.56,3.1400000000000006,I go for English to Charleston.,1,6,[np.int64(24)]
18,69.9,70.54,0.6400000000000006,Yeah.,1,1,[np.int64(26)]
19,70.94,72.22,1.2800000000000011,What do the greatest right now?,1,6,[np.int64(27)]
20,73.04,73.72,0.6799999999999926,That's not able.,1,3,[np.int64(29)]
21,75.6,81.62,6.02000000000001,"I used to support Manchester United, but they're, what do you mean?",1,12,[np.int64(31)]
22,82.08,87.54,5.460000000000008,"I mean, I mean, I mean, I mean, I mean, I mean, I mean, especially when you don't know.",1,19,[np.int64(32)]
23,87.84,90.48,2.6400000000000006,"Yeah. I mean, I mean, I mean, I just feel like this is like a popular idea.",2,17,"[np.int64(33), np.int64(34)]"
24,91.5,95.82,4.319999999999993,"Well, no, I went for them. Well, they did win often.",2,11,"[np.int64(35), np.int64(36)]"
25,96.08,98.16,2.0799999999999983,"It's like a fair enough, but not anymore.",1,8,[np.int64(37)]
26,99.46000000000001,101.0,1.539999999999992,The backs of when it was.,1,6,[np.int64(38)]
27,101.2,103.14,1.9399999999999977,"Oh, okay. Who do they have on their team?",2,9,"[np.int64(39), np.int64(40)]"
28,103.5,104.2,0.7000000000000028,Like anyone?,1,2,[np.int64(41)]
29,104.48,105.38,0.8999999999999915,Any big names?,1,3,[np.int64(42)]
30,105.78,107.02,1.2399999999999949,Yeah. But now we're lost.,2,5,"[np.int64(43), np.int64(44)]"
31,108.76,110.42,1.6599999999999966,Yeah. They only lost here.,2,5,"[np.int64(46), np.int64(47)]"
32,110.7,112.6,1.8999999999999915,I think they have lost here. It's basically gone now.,2,10,"[np.int64(48), np.int64(49)]"
33,113.84,117.3,3.4599999999999937,Who do they have now? Did they have a play? You might know. Or the grassroot?,4,16,"[np.int64(51), np.int64(52), np.int64(53), np.int64(54)]"
34,120.84,122.36,1.519999999999996,Yeah. It's probably a lot of more.,2,7,"[np.int64(56), np.int64(57)]"
35,127.8,130.02,2.220000000000013,Do you have no really going to see poppin? No.,2,10,"[np.int64(59), np.int64(60)]"
36,131.0,133.5,2.5,I know you don't know if there was a sport. Yeah. Okay.,3,12,"[np.int64(62), np.int64(63), np.int64(64)]"
37,133.72,136.56,2.8400000000000034,Yeah. I guess I don't really watch it. So I really wouldn't know anyone.,3,14,"[np.int64(65), np.int64(66), np.int64(67)]"
38,139.3,147.54,8.23999999999998,"I watched one of the games, like, two nights ago, the one, like Tottenham Spurs vs.",1,16,[np.int64(68)]
39,147.88,149.94,2.0600000000000023,"Brighton. Oh, yeah. What's that?",3,5,"[np.int64(69), np.int64(70), np.int64(71)]"
40,150.2,154.38,4.180000000000007,"Yeah, I did because I was at my friends and they wanted to watch it.",1,15,[np.int64(72)]
41,154.68,162.98,8.299999999999983,But I didn't really like. I thought Tottenham was much better than they were. I feel like they're really over.,3,20,"[np.int64(73), np.int64(74), np.int64(75)]"
42,163.44,168.48,5.039999999999992,"I don't know. I just hear them a lot. Like, they're a top, like, they're a top team.",3,18,"[np.int64(76), np.int64(77), np.int64(78)]"
43,168.72,169.86,1.1400000000000148,"They're not, like, they're in a top six.",1,8,[np.int64(79)]
44,170.58,171.84,1.259999999999991,"Like, they're kind of bad.",1,5,[np.int64(80)]
45,172.2,173.8,1.6000000000000227,But I can't really talk with Chelsea.,1,7,[np.int64(81)]
46,174.12,176.4,2.280000000000001,"I'm like, don't really really want to see.",1,8,[np.int64(82)]
47,177.18,177.76,0.5799999999999841,Okay. Yeah.,2,2,"[np.int64(84), np.int64(85)]"
48,178.08,182.78,4.699999999999989,"And, like, Brighton, I've been a really good team, so I just want to talk about sport.",1,17,[np.int64(86)]
49,183.1,191.6,8.5,"Yeah. Brighton, I've never even, they're just not one of the, like... No, I want to be better than over. Like, I'd be good to see them in a top six.",4,31,"[np.int64(87), np.int64(88), np.int64(89), np.int64(90)]"
50,192.54,200.32,7.780000000000001,"Yeah. So, when you say, like, season, what does that mean? Is it just, like, when you... It's, like, you play teams play against each other.",4,26,"[np.int64(92), np.int64(93), np.int64(94), np.int64(95)]"
51,201.2,204.28,3.0800000000000125,"Yeah, that's a pleasant place to get against each other. Yeah.",2,11,"[np.int64(96), np.int64(97)]"
52,204.7,207.1,2.4000000000000057,"You know, there's about a couple of...",1,7,[np.int64(98)]
53,207.96,208.84,0.8799999999999955,Six months.,1,2,[np.int64(99)]
54,209.92,212.18,2.2600000000000193,"So, every team plays each other twice.",1,7,[np.int64(100)]
55,212.56,217.74,5.180000000000007,"Twice, okay. And then, if you're in a top four, you get to play like...",2,15,"[np.int64(101), np.int64(102)]"
56,218.4,224.38,5.97999999999999,"You know, international clubs. And if you can look one of the three, you go down to the lower division.",2,20,"[np.int64(103), np.int64(104)]"
57,225.3,228.88,3.579999999999984,"And it seems, in the top three teams, in the lower division, come up.",1,14,[np.int64(106)]
58,229.48,230.08,0.6000000000000227,"So, the Premier League.",1,4,[np.int64(107)]
59,231.18,236.16,4.97999999999999,"And how often does the Premier League happen? Is that once a year? Yeah, exactly.",3,15,"[np.int64(109), np.int64(110), np.int64(111)]"
60,237.26,242.58,5.320000000000022,"And that's... And what teams get to play in the actual, like, season?",2,13,"[np.int64(113), np.int64(114)]"
61,243.88,251.88,8.0,"Just... And seeing... Like, any other... Any big... Any, like, existing soccer team gets to play. Like, any... Same thing is it?",7,22,"[np.int64(115), np.int64(116), np.int64(117), np.int64(118), np.int64(119), np.int64(120), np.int64(121)]"
62,252.26,253.36,1.1000000000000227,"Oh, okay.",1,2,[np.int64(122)]
