time,words_per_second
2.17,1.4
4.67,2.4
7.17,1.6
9.67,1.0
12.17,1.6
14.67,2.8
17.17,3.0
19.67,2.6
22.17,3.2
24.67,4.0
27.17,2.2
29.67,0.2
32.17,1.0
34.67,3.2
37.17,4.0
39.67,2.6
42.17,1.6
44.67,1.8
47.17,2.2
49.67,2.8
52.17,2.8
54.67,3.2
57.17,3.2
59.67,2.2
62.17,4.0
64.67,5.0
67.17,4.0
69.67,5.0
72.17,4.0
74.67,4.2
77.17,3.4
79.67,3.0
82.17,6.0
84.67,5.6
87.17,6.4
89.67,5.4
92.17,2.0
94.67,2.4
97.17,3.8
99.67,3.8
102.17,3.4
104.67,3.6
107.17,4.0
109.67,5.6
112.17,6.8
114.67,6.4
117.17,4.8
119.67,3.4
122.17,3.6
124.67,2.6
127.17,1.2
129.67,1.6
132.17,2.2
134.67,2.4
137.17,2.8
139.67,3.4
142.17,4.2
144.67,3.4
147.17,4.8
149.67,5.6
152.17,3.2
154.67,2.6
157.17,2.8
159.67,3.4
162.17,4.0
164.67,3.8
167.17,3.4
169.67,3.6
172.17,3.2
174.67,3.0
177.17,6.6
179.67,6.4
182.17,2.6
184.67,1.8
187.17,3.4
189.67,4.6
192.17,4.0
194.67,4.4
197.17,4.2
199.67,2.8
202.17,2.4
204.67,2.8
207.17,2.2
209.67,1.0
212.17,1.6
214.67,3.8
217.17,4.6
219.67,4.2
222.17,4.2
224.67,4.8
227.17,5.6
229.67,5.6
232.17,6.4
234.67,4.6
237.17,1.4
239.67,1.2
242.17,2.0
244.67,5.0
247.17,4.8
249.67,1.4
252.17,0.8
254.67,2.0
257.17,2.8
259.67,1.4
264.67,0.8
267.17,1.6
269.67,2.4
272.17,2.2
274.67,1.8
277.17,3.0
279.67,4.6
282.17,5.4
284.67,4.0
287.17,4.2
289.67,4.0
292.17,3.0
294.67,4.4
297.17,7.0
299.67,8.8
302.17,6.6
304.67,4.4
307.17,4.8
309.67,5.4
312.17,5.2
314.67,3.6
317.17,2.6
319.67,3.6
322.17,4.8
324.67,6.0
327.17,5.4
329.67,3.2
332.17,4.4
334.67,4.4
337.17,3.4
339.67,3.0
342.17,2.4
344.67,2.8
347.17,2.4
349.67,2.4
352.17,1.4
354.67,2.4
357.17,2.6
359.67,0.8
