turn_id,start,end,duration,text,n_segments,n_words,segment_ids
0,4.200000000000004,6.16,1.9599999999999964,So are you watching anything lately?,1,6,[np.int64(0)]
1,7.880000000000004,12.92,5.039999999999996,So are you watching at the top?,1,7,[np.int64(1)]
2,13.600000000000009,17.6,3.999999999999993,"Oh yeah, yeah, yeah. So are you watching at the top?",2,11,"[np.int64(2), np.int64(3)]"
3,19.080000000000005,19.6,0.519999999999996,Yeah.,1,1,[np.int64(4)]
4,22.360000000000003,31.44,9.079999999999998,"It is actually so good, but I think I sort of, you know when like you watch it but then you sort of don't have a long time when you forget where you're up to.",2,35,"[np.int64(5), np.int64(6)]"
5,32.04,33.56,1.5200000000000031,Because how many seasons are there?,1,6,[np.int64(7)]
6,35.06,37.42,2.3599999999999994,"Oh, so I guess maybe I did get that far.",1,10,[np.int64(8)]
7,38.02,39.42,1.3999999999999986,"But there's a lot of episodes, no?",1,7,[np.int64(9)]
8,42.38,43.32,0.9399999999999977,"Yeah, yeah.",1,2,[np.int64(10)]
9,43.7,45.96,2.259999999999998,"Okay, who's your favorite character?",1,5,[np.int64(11)]
10,50.580000000000005,52.86,2.279999999999994,"Yeah, yeah, with the earth.",1,5,[np.int64(12)]
11,53.2,71.1,17.89999999999999,"Yeah, yeah, yeah. I feel like the only thing I really remember the last part I got up to, you know the part where they're sort of like running and it's the guy with the cabbages and he's like, they like knock over his cabbage trolley and they're like, oh my cabbages.",2,52,"[np.int64(13), np.int64(14)]"
12,71.68,88.52,16.83999999999999,"Yeah, but I don't know what episode that is, maybe if I found it. Yeah, it's kind of, I think really early on season, actually, because I think like the cabbages, like the character that we carry, the girls that went into the guy just showed us how they did.",2,50,"[np.int64(15), np.int64(16)]"
13,89.9,91.74,1.8399999999999892,"Oh my god, okay, yeah.",1,5,[np.int64(18)]
14,92.14,93.7,1.5600000000000023,I just need to start from the start again.,1,9,[np.int64(19)]
15,93.96,97.14,3.180000000000007,"Start again. Yeah, have you watched like the live action?",2,10,"[np.int64(20), np.int64(21)]"
16,99.18,99.76,0.5799999999999983,"Yeah, I saw that.",1,4,[np.int64(24)]
17,102.04,103.72,1.6799999999999926,"I don't know, I never watched it.",1,7,[np.int64(25)]
18,104.06,106.56,2.5,"No, what is it good? You said it was bad.",2,10,"[np.int64(26), np.int64(27)]"
19,110.88,114.5,3.6200000000000045,"I guess, I guess I will maybe once I like rewatch the show again.",1,14,[np.int64(29)]
20,114.88,116.8,1.9200000000000017,I'm saying you can imagine a pro off into that.,1,10,[np.int64(30)]
21,117.74000000000001,122.1,4.359999999999985,"Oh, no, I have it. Is that one, is that one good?",2,12,"[np.int64(31), np.int64(32)]"
22,123.06,126.08,3.019999999999996,"That kind of, that kind of, that seems the last ever.",1,11,[np.int64(33)]
23,126.64,131.78,5.140000000000001,"Oh, okay. Can you watch it without watching like Avatar?",2,10,"[np.int64(34), np.int64(35)]"
24,132.18,132.74,0.5600000000000023,"Yeah, you can.",1,3,[np.int64(36)]
25,133.62,135.78,2.1599999999999966,It's probably fixed in the channel after that. Yeah.,2,9,"[np.int64(38), np.int64(39)]"
26,138.42,139.88,1.460000000000008,Where do you watch out? What is it on?,2,9,"[np.int64(42), np.int64(43)]"
27,140.68,141.56,0.8799999999999955,A thousand of things.,1,4,[np.int64(44)]
28,143.04,143.6,0.5600000000000023,"Oh, really?",1,2,[np.int64(46)]
29,143.98,145.84,1.8600000000000136,"Okay, yeah, I have been. Yeah, I've been to the cast.",2,11,"[np.int64(47), np.int64(48)]"
30,146.48,148.4,1.920000000000016,"Oh my god, okay, yeah.",1,5,[np.int64(49)]
31,149.74,155.9,6.159999999999997,"I'm not sure what's on the computer, but it should be the display. Yeah, yeah, okay.",2,16,"[np.int64(50), np.int64(51)]"
32,157.60000000000002,161.52,3.9199999999999875,It's just so hard these days because you have to own every single.,1,13,[np.int64(52)]
33,162.74,163.76,1.0199999999999818,That's really it.,1,3,[np.int64(53)]
34,164.04,165.82,1.7800000000000011,"Yeah, I just want one.",1,5,[np.int64(54)]
35,166.38,170.24,3.8600000000000136,"Like, I don't want to have to pay for a million just because I want to watch different things.",1,19,[np.int64(55)]
